,gene_ids
LINC01409,ENSG00000237491
HES4,ENSG00000188290
ISG15,ENSG00000187608
TNFRSF4,ENSG00000186827
B3GALT6,ENSG00000176022
CCNL2,ENSG00000221978
MRPL20,ENSG00000242485
ATAD3A,ENSG00000197785
MMP23B,ENSG00000189409
SLC35E2B,ENSG00000189339
SLC35E2A,ENSG00000215790
SKI,ENSG00000157933
MORN1,ENSG00000116151
PRXL2B,ENSG00000157870
LRRC47,ENSG00000130764
DFFB,ENSG00000169598
ZBTB48,ENSG00000204859
KLHL21,ENSG00000162413
PHF13,ENSG00000116273
DNAJC11,ENSG00000007923
VAMP3,ENSG00000049245
RERE,ENSG00000142599
H6PD,ENSG00000049239
SPSB1,ENSG00000171621
CLSTN1,ENSG00000171603
CTNNBIP1,ENSG00000178585
RBP7,ENSG00000162444
UBE4B,ENSG00000130939
KIF1B,ENSG00000054523
PGD,ENSG00000142657
PEX14,ENSG00000142655
MTOR,ENSG00000198793
FBXO6,ENSG00000116663
AGTRAP,ENSG00000177674
CLCN6,ENSG00000011021
KIAA2013,ENSG00000116685
MIIP,ENSG00000116691
TNFRSF1B,ENSG00000028137
KAZN,ENSG00000189337
EFHD2,ENSG00000142634
CASP9,ENSG00000132906
DNAJC16,ENSG00000116138
ZBTB17,ENSG00000116809
SPATA21,ENSG00000187144
CROCC,ENSG00000058453
AL049569.1,ENSG00000226526
PADI4,ENSG00000159339
IFFO2,ENSG00000169991
MICOS10,ENSG00000173436
AL031727.2,ENSG00000235185
TMCO4,ENSG00000162542
CAMK2N1,ENSG00000162545
MUL1,ENSG00000090432
CDA,ENSG00000158825
PINK1,ENSG00000158828
EIF4G3,ENSG00000075151
ECE1,ENSG00000117298
AL031428.1,ENSG00000240553
ID3,ENSG00000117318
MDS2,ENSG00000197880
LYPLA2,ENSG00000011009
NCMAP-DT,ENSG00000264443
CLIC4,ENSG00000169504
RUNX3,ENSG00000020633
LDLRAP1,ENSG00000157978
MAN1C1,ENSG00000117643
SELENON,ENSG00000162430
AL020996.1,ENSG00000228172
MTFR1L,ENSG00000117640
PAQR7,ENSG00000182749
STMN1,ENSG00000117632
UBXN11,ENSG00000158062
SLC9A1,ENSG00000090020
