barcodes,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA-DR,IgD,IgG1-K-Isotype-Control,IgM,KLRG1,TCR-Va24-Ja18,TCR-Va7.2,TCR-a/b,TCR-g/d
195d17cc4f8711eb841542010a19c80f,6,2,243,29,0,272,60,54,136,0,10,25,8,3,14,1,3,3,2,6,11,5,0,39,8,66,8,40,17,6,16,9,8,35,17,53,5,30,0,0,3,23,10,0,11,80
195d18b24f8711eb841542010a19c80f,2,9,558,9,0,169,55,3,235,0,2,57,2,0,13,2,3,5,1,2,20,2,0,196,6,50,20,21,94,20,0,39,6,145,23,143,8,187,1,3,5,13,6,2,9,72
195d19204f8711eb841542010a19c80f,2,0,2,20,0,8,2,2,9,18,511,3,8,56,14,0,0,7,3,3,24,0,2,76,14,2,38,97,17,5,1,23,7,1,7,7,2,203,28,1,19,10,2,0,15,74
195d19844f8711eb841542010a19c80f,2,6,417,9,0,319,26,5,275,1,4,26,3,0,13,3,2,4,0,2,14,0,6,28,11,30,9,7,45,8,0,10,3,55,9,26,1,489,2,0,3,14,8,0,8,43
195d19e84f8711eb841542010a19c80f,0,0,2,3,3,3,1,6,3,0,4,3,6,0,9,1,8,14,2,1,64,1,2,35,1,229,4,28,12,8,0,2,4,0,8,4,1,1,0,1,1,7,4,0,15,40
195d1a604f8711eb841542010a19c80f,2,0,0,5,6,2,3,3,2,0,3,10,4,0,9,0,4,27,10,28,107,0,1,3,0,176,4,14,170,2,0,0,4,1,17,43,2,3,0,0,3,8,6,2,22,38
195d1aba4f8711eb841542010a19c80f,2,0,0,0,4,7,1,3,4,0,4,1,17,1,8,6,3,51,1,1,268,0,2,89,1,233,4,104,15,4,1,0,3,0,13,13,2,7,0,0,2,15,2,1,69,38
195d1b144f8711eb841542010a19c80f,5,2,3,19,2,8,2,6,10,13,486,7,9,74,131,16,0,3,0,6,6,1,2,89,17,3,60,165,6,12,2,34,5,0,13,6,1,276,50,3,74,20,3,0,13,146
195d1b644f8711eb841542010a19c80f,26,12,677,36,2,435,24,7,464,0,8,93,3,1,15,7,5,5,1,8,12,4,7,70,10,41,28,90,24,4,0,80,4,98,13,128,2,545,0,0,4,21,2,0,10,27
195d1be64f8711eb841542010a19c80f,20,0,3,20,41,6,5,2,8,4,466,12,17,90,416,16,2,115,6,9,308,1,1,211,12,485,38,432,177,6,0,44,5,3,20,62,4,130,73,4,783,13,8,1,126,221
195d1c4a4f8711eb841542010a19c80f,2,4,323,14,2,286,15,6,184,0,12,25,8,1,14,2,1,0,0,7,23,3,4,55,15,51,3,10,18,3,0,11,10,52,14,46,14,139,0,1,6,13,9,0,13,33
195d1cae4f8711eb841542010a19c80f,3,0,0,1,3,4,1,6,2,3,161,7,3,63,265,2,2,7,0,1,13,2,0,19,5,5,97,374,8,6,0,5,5,3,8,4,0,183,6,1,137,14,6,0,8,59
195d1d084f8711eb841542010a19c80f,0,0,4,1,8,7,2,7,5,1,5,5,8,1,10,2,2,69,3,4,368,0,3,32,0,215,2,128,5,3,5,0,5,1,14,8,1,2,1,0,5,11,7,1,280,32
195d1d764f8711eb841542010a19c80f,5,1,0,2,5,4,6,3,4,0,4,9,6,0,12,2,4,25,0,6,129,0,1,6,0,189,4,100,10,4,1,11,1,1,13,6,3,2,0,1,1,13,5,1,17,46
195d1dd04f8711eb841542010a19c80f,3,0,6,2,2,0,2,2,4,3,557,13,6,84,390,47,5,38,1,0,18,1,2,3,6,3,37,329,2,7,1,12,4,5,14,11,0,89,7,1,76,9,1,0,10,72
195d1e2a4f8711eb841542010a19c80f,4,0,3,14,3,6,0,4,4,9,286,2,6,91,45,2,2,2,0,4,11,0,7,53,17,1,37,203,11,8,0,12,4,4,32,10,16,304,59,0,21,15,5,0,16,163
195d1ea24f8711eb841542010a19c80f,2,2,201,2,1,2,2,838,59,0,6,2,5,5,12,0,1,6,8,0,18,0,19,420,0,11,3,525,15,32,1,0,4,2,11,21,2,8,0,1,2,215,3,0,12,38
195d1f064f8711eb841542010a19c80f,0,0,3,8,10,4,4,5,3,2,5,3,5,1,15,1,2,31,6,4,120,1,2,23,1,7,3,318,15,9,0,4,10,2,289,4,4,2,1,1,3,12,3,0,27,51
195d1f604f8711eb841542010a19c80f,1,0,4,2,4,0,3,7,1,0,4,4,3,0,16,1,0,1,2,3,94,0,1,7,0,0,1,41,27,5,0,4,2,1,162,22,2,4,0,0,7,60,3,0,9,31
195d1fd84f8711eb841542010a19c80f,2,0,3,4,13,10,2,8,6,0,4,9,6,1,24,0,2,45,8,5,216,0,1,8,0,204,4,13,162,3,1,6,3,3,24,85,1,5,0,2,5,12,1,0,84,41
195d203c4f8711eb841542010a19c80f,1,0,0,2,3,7,4,4,2,0,2,2,8,0,13,3,4,39,1,6,481,2,1,13,1,249,3,160,5,6,1,2,5,1,18,7,0,3,1,0,5,25,1,0,187,46
195d20aa4f8711eb841542010a19c80f,5,24,299,19,2,220,43,12,155,0,17,82,7,7,13,4,6,3,2,4,11,0,1,111,7,44,9,21,53,143,1,33,6,45,22,112,3,178,1,8,6,19,6,0,9,82
195d210e4f8711eb841542010a19c80f,0,0,4,2,31,4,3,5,3,0,5,8,8,1,10,1,1,22,18,64,210,2,2,14,0,262,6,12,234,6,0,16,7,0,13,61,2,6,0,1,4,7,7,1,48,32
195d21684f8711eb841542010a19c80f,8,0,4,1,1,10,8,3,4,1,6,4,8,2,13,2,3,35,8,3,269,2,2,61,1,215,2,196,9,6,1,3,7,2,14,10,0,9,0,1,8,11,2,0,100,39
195d21cc4f8711eb841542010a19c80f,3,0,0,3,6,1,1,9,9,3,6,3,9,1,11,2,0,8,1,2,23,1,1,2,0,174,2,15,79,6,2,3,4,3,6,39,3,3,0,1,1,10,1,0,20,24
195d22264f8711eb841542010a19c80f,3,0,2,5,0,7,5,11,3,3,3,5,14,0,11,4,4,22,1,2,427,0,11,13,1,3,2,727,12,8,0,1,6,2,18,48,2,8,0,5,6,330,1,0,15,67
195d22944f8711eb841542010a19c80f,3,0,2,1,4,5,4,6,6,0,6,3,5,0,15,0,3,38,12,0,301,0,0,203,0,171,7,341,12,6,2,2,9,0,8,4,1,9,1,3,6,12,10,1,88,46
195d22ee4f8711eb841542010a19c80f,3,1,2,0,26,6,2,7,6,0,6,15,7,0,13,2,1,18,7,11,185,1,4,5,0,240,4,10,185,5,2,0,6,0,35,47,3,6,1,2,1,217,3,1,14,61
195d23484f8711eb841542010a19c80f,14,0,2,1,10,5,5,5,9,2,5,4,4,0,19,2,1,36,1,3,84,0,1,9,1,195,6,30,20,7,1,1,8,3,13,14,4,3,2,0,4,23,8,1,13,36
195d23a24f8711eb841542010a19c80f,3,8,356,5,14,371,13,4,236,0,10,46,7,2,12,3,4,57,5,4,342,1,3,63,18,213,6,225,35,4,0,2,6,37,8,37,2,80,0,0,8,13,5,1,159,40
195d23fc4f8711eb841542010a19c80f,3,1,1,0,14,3,5,7,7,2,6,3,5,0,11,1,0,31,1,3,141,2,6,6,1,1,2,83,15,6,2,1,5,0,399,21,0,1,0,3,4,176,7,1,25,35
195d24604f8711eb841542010a19c80f,3,0,2,1,2,11,1,3,7,0,8,5,4,2,16,0,1,25,2,3,51,3,2,51,1,243,0,17,21,3,2,5,3,0,7,45,1,11,0,1,5,26,5,0,27,35
195d24c44f8711eb841542010a19c80f,5,1,6,33,1,14,6,2,8,5,300,4,8,88,291,1,4,3,1,7,19,1,0,69,13,4,36,276,8,3,3,9,3,3,12,5,1,110,92,1,68,17,12,0,18,177
