,Unnamed: 0
0,LINC01409
1,HES4
2,ISG15
3,TNFRSF4
4,B3GALT6
5,CCNL2
6,MRPL20
7,ATAD3A
8,MMP23B
9,SLC35E2B
10,SLC35E2A
11,SKI
12,MORN1
13,PRXL2B
14,LRRC47
15,DFFB
16,ZBTB48
17,KLHL21
18,PHF13
19,DNAJC11
20,VAMP3
21,RERE
22,H6PD
23,SPSB1
24,CLSTN1
25,CTNNBIP1
26,RBP7
27,UBE4B
28,KIF1B
29,PGD
30,PEX14
31,MTOR
32,FBXO6
33,AGTRAP
34,CLCN6
35,KIAA2013
36,MIIP
37,TNFRSF1B
38,KAZN
39,EFHD2
40,CASP9
41,DNAJC16
42,ZBTB17
43,SPATA21
44,CROCC
45,AL049569.1
46,PADI4
47,IFFO2
48,MICOS10
49,AL031727.2
50,TMCO4
51,CAMK2N1
52,MUL1
53,CDA
54,PINK1
55,EIF4G3
56,ECE1
57,AL031428.1
58,ID3
59,MDS2
60,LYPLA2
61,NCMAP-DT
62,CLIC4
63,RUNX3
64,LDLRAP1
65,MAN1C1
66,SELENON
67,AL020996.1
68,MTFR1L
69,PAQR7
70,STMN1
71,UBXN11
72,SLC9A1
73,WDTC1
74,FGR
75,IFI6
76,STX12
77,THEMIS2
78,EYA3
79,DNAJC8
80,PHACTR4
81,TRNAU1AP
82,LINC01715
83,AL360012.1
84,MATN1
85,TXLNA
86,CCDC28B
87,ZBTB8OS
88,AL020995.1
89,AL513327.1
90,SMIM12
91,ZMYM6
92,ZMYM4
93,KIAA0319L
94,AGO4
95,AGO1
96,STK40
97,CSF3R
98,LINC01137
99,ZC3H12A
100,GNL2
101,C1orf122
102,INPP5B
103,AL139260.1
104,MYCBP
105,PPT1
106,ZMPSTE24
107,AL603839.3
108,NFYC-AS1
109,CTPS1
110,SCMH1
111,HIVEP3
112,ZMYND12
113,CCDC30
114,P3H1
115,MED8
116,SZT2
117,KDM4A-AS1
118,ST3GAL3
119,IPO13
120,ARMH1
121,PTCH2
122,EIF2B3
123,ZSWIM5
124,TOE1
125,AKR1A1
126,IPP
127,MAST2
128,SPATA6
129,AGBL4
130,AC104170.1
131,KTI12
132,BTF3L4
133,ZFYVE9
134,COA7
135,ZYG11B
136,SLC1A7
137,CPT2
138,LRP8
139,NDC1
140,SSBP3
141,DAB1
142,OMA1
143,MYSM1
144,FGGY
145,NFIA
146,TM2D1
147,AC099791.2
148,PATJ
149,ITGB3BP
150,PGM1
151,ROR1
152,CACHD1
153,LEPROT
154,LEPR
155,PDE4B
156,SLC35D1
157,IL12RB2
158,GADD45A
159,LRRC7
160,NEGR1
161,ST6GALNAC3
162,PIGK
163,AK5
164,AC118549.1
165,MIGA1
166,NEXN
167,GIPC2
168,AC103591.3
169,IFI44L
170,IFI44
171,LINC01362
172,LINC01725
173,SPATA1
174,SSX2IP
175,MCOLN2
176,WDR63
177,AL078459.1
178,CLCA4-AS1
179,HS2ST1
180,PKN2-AS1
181,KYAT3
182,GBP1
183,AL596214.1
184,LRRC8C
185,LRRC8D
186,CDC7
187,TGFBR3
188,BTBD8
189,EVI5
190,GCLM
191,ALG14
192,DPYD
193,DPYD-AS1
194,AGL
195,SLC35A3
196,SASS6
197,LRRC39
198,DBT
199,RTCA-AS1
200,CDC14A
201,AC093157.1
202,VAV3
203,VAV3-AS1
204,LINC02785
205,SLC25A24
206,FAM102B
207,KIAA1324
208,SORT1
209,AMPD2
210,LAMTOR5-AS1
211,SLC16A4
212,KCNA3
213,AL360270.1
214,CEPT1
215,INKA2
216,INKA2-AS1
217,RHOC
218,SLC16A1
219,SLC16A1-AS1
220,LRIG2-DT
221,MAGI3
222,PHTF1
223,AL137856.1
224,PTPN22
225,HIPK1-AS1
226,DENND2C
227,SLC22A15
228,ATP1A1-AS1
229,LINC01762
230,CD58
231,CD2
232,AL445231.1
233,WDR3
234,WARS2
235,WARS2-AS1
236,NOTCH2
237,SRGAP2C
238,LINC02798
239,GPR89A
240,CD160
241,PIAS3
242,LIX1L
243,HJV
244,AC239799.2
245,AC245407.2
246,AC242426.2
247,FMO5
248,NBPF19
249,HIST2H2BF
250,HIST2H2AA4
251,AC239868.1
252,MTMR11
253,VPS45
254,C1orf54
255,RPRD2
256,TARS2
257,ADAMTSL4-AS1
258,CTSS
259,ARNT
260,BNIPL
261,C1orf56
262,TNFAIP8L2
263,PIP5K1A
264,RFX5
265,POGZ
266,TUFT1
267,TDRKH-AS1
268,C2CD4D-AS1
269,AL450992.3
270,S100A11
271,S100A9
272,S100A12
273,S100A8
274,S100A6
275,S100A4
276,CHTOP
277,DENND4B
278,ATP8B2
279,IL6R-AS1
280,IL6R
281,SHC1
282,FLAD1
283,FDPS
284,LMNA
285,SEMA4A
286,BGLAP
287,GLMP
288,C1orf61
289,RRNAD1
290,PRCC
291,ARHGEF11
292,ETV3
293,FCRL5
294,FCRL2
295,FCRL1
296,CD1D
297,MNDA
298,PYHIN1
299,FCRL6
300,PEA15
301,PEX19
302,SLAMF6
303,CD84
304,AL121985.1
305,SLAMF7
306,CD244
307,F11R
308,USF1
309,NIT1
310,USP21
311,PPOX
312,FCER1G
313,FCGR2A
314,HSPA6
315,FCGR3A
316,FCGR2B
317,DUSP12
318,ATF6
319,SH2D1B
320,UAP1
321,DDR2
322,AL592435.1
323,CD247
324,CREG1
325,AL031733.2
326,DCAF6
327,XCL2
328,XCL1
329,ATP1B1
330,NME7
331,BLZF1
332,Z99572.1
333,F5
334,C1orf112
335,BX284613.2
336,DNM3
337,AL645568.1
338,KLHL20
339,CENPL
340,ZBTB37
341,RABGAP1L
342,Z99127.1
343,AL591043.2
344,C1orf220
345,RALGPS2
346,ANGPTL1
347,QSOX1
348,GLUL
349,LAMC1
350,SMG7
351,NCF2
352,RGL1
353,TSEN15
354,C1orf21
355,NIBAN1
356,RNF2
357,ODR4
358,PTGS2
359,ERVMER61-1
360,RGS18
361,RGS1
362,AL136454.1
363,RGS2
364,GLRX2
365,LINC01031
366,AL136456.1
367,CFH
368,ZBTB41
369,CRB1
370,DENND1B
371,MIR181A1HG
372,KIF14
373,CAMSAP2
374,IPO9
375,TIMM17A
376,RNPEP
377,ARL8A
378,LGR6
379,PPP1R12B
380,KLHL12
381,ATP2B4
382,AL606489.1
383,PIK3C2B
384,DSTYK
385,AC119673.2
386,SRGAP2
387,C1orf147
388,IL24
389,CR1
390,G0S2
391,RCOR3
392,TRAF5
393,INTS7
394,DTL
395,AL360091.3
396,ATF3
397,BATF3
398,NSL1
399,FLVCR1-DT
400,ANGEL2
401,RPS6KC1
402,CENPF
403,GPATCH2
404,TGFB2
405,LYPLAL1
406,MARC1
407,DUSP10
408,FAM177B
409,AL392172.2
410,AL392172.1
411,DISP1
412,TLR5
413,SUSD4
414,FBXO28
415,CNIH3
416,TMEM63A
417,PYCR2
418,LINC01703
419,SNAP47
420,C1orf35
421,IBA57
422,OBSCN
423,TRIM11
424,HIST3H2A
425,RHOU
426,RAB4A
427,CCSAP
428,TAF5L
429,GALNT2
430,COG2
431,C1orf198
432,C1orf131
433,EXOC8
434,EGLN1
435,AL445524.1
436,DISC1
437,PCNX2
438,COA6-AS1
439,COA6
440,GPR137B
441,EDARADD
442,HEATR1
443,CHRM3
444,RGS7
445,KMO
446,CEP170
447,AKT3
448,AL645465.1
449,CATSPERE
450,DESI2
451,AL356512.1
452,KIF26B
453,SMYD3
454,SCCPDH
455,ZNF669
456,AL390728.6
457,NLRP3
458,SNTG2
459,EIPR1
460,ADI1
461,LINC00299
462,ID2
463,CPSF3
464,IAH1
465,YWHAQ
466,KLF11
467,ODC1-DT
468,ATP6V1C2
469,ROCK2
470,FAM49A
471,SMC6
472,GEN1
473,LINC01376
474,LDAH
475,KLHL29
476,FAM228B
477,NCOA1
478,PTRHD1
479,ADCY3
480,DNAJC27
481,DNMT3A
482,DTNB
483,ASXL2
484,ADGRF3
485,PREB
486,PPM1G
487,SUPT7L
488,BABAM2
489,FOSL2
490,AC092164.1
491,SPDYA
492,CLIP4
493,LCLAT1
494,SPAST
495,SLC30A6
496,TTC27
497,RASGRP3
498,FAM98A
499,CRIM1
500,FEZ2
501,HEATR5B
502,GPATCH11
503,AC006369.1
504,CDC42EP3
505,CYP1B1
506,CYP1B1-AS1
507,HNRNPLL
508,GALM
509,DHX57
510,MAP4K3
511,SLC8A1
512,MTA3
513,ZFP36L2
514,THADA
515,SLC3A1
516,CAMKMT
517,SRBD1
518,PRKCE
519,RHOQ
520,AC018682.1
521,LINC01118
522,MCFD2
523,MSH2
524,MSH6
525,FBXO11
526,AC079807.1
527,AC092650.1
528,AC010967.1
529,ACYP2
530,CCDC88A
531,AC132153.1
532,VRK2
533,AC007381.1
534,BCL11A
535,PAPOLG
536,PEX13
537,COMMD1
538,AC018462.1
539,B3GNT2
540,EHBP1
541,WDPCP
542,VPS54
543,PELI1
544,LINC02245
545,SPRED2
546,PNO1
547,PPP3R1
548,AC017083.1
549,PLEK
550,ARHGAP25
551,ANXA4
552,PCBP1-AS1
553,PCYOX1
554,ADD2
555,TEX261
556,NAGK
557,DYSF
558,EXOC6B
559,SMYD5
560,FBXO41
561,ALMS1
562,DUSP11
563,DGUOK-AS1
564,TET3
565,AC073263.2
566,SLC4A5
567,C2orf81
568,WDR54
569,AUP1
570,HTRA2
571,HK2
572,TACR1
573,MRPL19
574,GCFC2
575,KCMF1
576,CAPG
577,GNLY
578,POLR1A
579,RMND5A
580,CD8A
581,CD8B
582,LINC01943
583,CYTOR
584,RGPD2
585,KRCC1
586,EIF2AK3
587,RPIA
588,IGKC
589,MRPS5
590,LINC00342
591,ASTL
592,DUSP2
593,STARD7
594,TMEM127
595,AC013270.1
596,C2orf92
597,TMEM131
598,UNC50
599,LINC02611
600,AC079447.1
601,MITD1
602,TXNDC9
603,AFF3
604,TBC1D8
605,IL1R1
606,IL18R1
607,IL18RAP
608,TMEM182
609,C2orf49
610,LIMS1
611,CCDC138
612,SH3RF3
613,NPHP1
614,MTLN
615,BUB1
616,MIR4435-2HG
617,BCL2L11
618,ANAPC1
619,AC092645.2
620,ZC3H6
621,CHCHD5
622,IL1B
623,PSD4
624,PAX8-AS1
625,PAX8
626,CBWD2
627,AC009303.2
628,EPB41L5
629,RALB
630,AC012447.1
631,NIFK
632,AC011246.1
633,IWS1
634,SFT2D3
635,POLR2D
636,SAP130
637,UGGT1
638,ARHGEF4
639,MGAT5
640,TMEM163
641,ZRANB3
642,MCM6
643,DARS-AS1
644,AC114763.1
645,KYNU
646,GTDC1
647,ZEB2
648,MBD5
649,KIF5C
650,RBM43
651,RIF1
652,AC097448.1
653,CACNB4
654,STAM2
655,FMNL2
656,ARL6IP6
657,LINC01876
658,AC074099.1
659,GPD2
660,ACVR1C
661,ACVR1
662,WDSUB1
663,CD302
664,LY75
665,AC009313.1
666,TANK
667,LINC01806
668,PSMD14
669,SLC4A10
670,IFIH1
671,GCA
672,COBLL1
673,AC019197.1
674,SLC38A11
675,SCN3A
676,TTC21B
677,STK39
678,CERS6
679,CCDC173
680,PHOSPHO2
681,KLHL23
682,MYO3B
683,METTL8
684,DYNC1I2
